identifier,trait,label,description_encoded,description,comments,inScheme,type,type_x,min,max,units,units_UCUM,units_uom,category_1,category_2,category_3,category_4,created,modified,deprecated_trait_name,constraints,structure_1,structure_2,structure_3,structure_4,meas_char_1,meas_char_2,meas_char_3,meas_char_4,meas_char_5,meas_char_6,rev_01,rev_02,rev_03,rev_04,rev_05,rev_06,rev_07,rev_08,rev_09,rev_10,ref_1,ref_2,ref_3,ref_4,ref_5,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,keyword_6,keyword_7,keyword_8,keyword_9,keyword_10,exact_other1,close_other1,close_other2,related_other,exact_TOP,close_TOP,related_TOP,related_TOP2,exact_TRY,close_TRY,related_TRY,exact_LEDA,close_LEDA,related_LEDA,exact_GIFT,close_GIFT,related_GIFT,exact_BIEN,close_BIEN,related_BIEN,exact_BROT,close_BROT,related_BROT,PalmTraits_exact,PalmTraits_close,traitID
APD/0001218,seed_Ca_per_seed_dry_mass,Seed calcium (Ca) content per unit seed dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of calcium [CHEBI:22984] in seeds [PO:0009010] to seed dry mass.,,,https://github.com/traitecoevo/APD,STATO_0000251,numeric,1,100,mg/g,mg/g,milligram per gram,reproductive shoot system mineral and ion content trait,,,,14/07/2021,,seed_Ca_concentration,,PO_0025082,PO_0009010,,,PATO_0000125,ECSO_00000619,PATO_0001470,,,,,,,,,,,,,,,,,,,CHEBI_22984,CHEBI_27027,GO_0000003,,,,,,,,,,,,Seed calcium content per seed dry mass [TOP566] (https://top-thesaurus.org/index),,,,,,,,,,,,,,,,,,,,,1218
APD/0001230,seed_K_per_seed_dry_mass,Seed potassium (K) content per unit seed dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of potassium [CHEBI:26216] in seeds [PO:0009010] to seed dry mass.,,,https://github.com/traitecoevo/APD,STATO_0000251,numeric,1,100,mg/g,mg/g,milligram per gram,reproductive shoot system mineral and ion content trait,,,,14/07/2021,,seed_K_concentration,,PO_0025082,PO_0009010,,,PATO_0000125,ECSO_00000619,PATO_0001470,,,,,,,,,,,,,,,,,,,CHEBI_26216,CHEBI_33937,GO_0000003,,,,,,,,,,,,Seed potassium content per seed dry mass [TOP579] (https://top-thesaurus.org/index),,,,,,,,,,,,,,,,,,,,,1230
APD/0001232,seed_Mg_per_seed_dry_mass,Seed magnesium (Mg) content per unit seed dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of magnesium [CHEBI:25107] in seeds [PO:0009010] to seed dry mass.,,,https://github.com/traitecoevo/APD,STATO_0000251,numeric,0.1,100,mg/g,mg/g,milligram per gram,reproductive shoot system mineral and ion content trait,,,,14/07/2021,,seed_Mg_concentration,,PO_0025082,PO_0009010,,,PATO_0000125,ECSO_00000619,PATO_0001470,,,,,,,,,,,,,,,,,,,CHEBI_25107,CHEBI_27027,GO_0000003,,,,,,,,,,,,Seed magnesium content per seed dry mass [TOP572] (https://top-thesaurus.org/index),,,,,,,,,,,,,,,,,,,,,1232
APD/0001238,seed_N_per_seed_dry_mass,Seed nitrogen (N) content per unit seed dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of nitrogen [CHEBI:25555] in seeds [PO:0009010] to seed dry mass.,,,https://github.com/traitecoevo/APD,STATO_0000251,numeric,10,1000,mg/g,mg/g,milligram per gram,reproductive shoot system mineral and ion content trait,,,,14/07/2021,,seed_N_concentration,,PO_0025082,PO_0009010,,,PATO_0000125,ECSO_00000619,PATO_0001470,,,,,,,,,,,,,,,,,,,CHEBI_25555,CHEBI_33937,GO_0000003,,,,,,,,,,,,Seed nitrogen content per seed dry mass [TOP577] (https://top-thesaurus.org/index),,,,Seed nitrogen (N) content per dry mass (or diaspore) [TRY:2945] (https://www.try-db.org/de/de.php),,,,,,,,,,,,,,,,,1238
APD/0001244,seed_P_per_seed_dry_mass,Seed phosphorus (P) content per unit seed dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of phosphorus [CHEBI:28659] in seeds [PO:0009010] to seed dry mass.,,,https://github.com/traitecoevo/APD,STATO_0000251,numeric,1,100,mg/g,mg/g,milligram per gram,reproductive shoot system mineral and ion content trait,,,,14/07/2021,,seed_P_concentration,,PO_0025082,PO_0009010,,,PATO_0000125,ECSO_00000619,PATO_0001470,,,,,,,,,,,,,,,,,,,CHEBI_28659,CHEBI_33937,GO_0000003,,,,,,,,TO_0002666,,,,Seed phosphorus content per seed dry mass [TOP578] (https://top-thesaurus.org/index),,,,Seed phosphorus (P) content per dry mass (or diaspore) [TRY:3000] (https://www.try-db.org/de/de.php),,,,,,,,,,,,,,,,,1244
APD/0001246,seed_S_per_seed_dry_mass,Seed sulphur (S) content per unit seed dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of sulphur [CHEBI:26833] in seeds [PO:0009010] to seed dry mass.,,,https://github.com/traitecoevo/APD,STATO_0000251,numeric,0.1,100,mg/g,mg/g,milligram per gram,reproductive shoot system mineral and ion content trait,,,,14/07/2021,,seed_S_concentration,,PO_0025082,PO_0009010,,,PATO_0000125,ECSO_00000619,PATO_0001470,,,,,,,,,,,,,,,,,,,CHEBI_26833,CHEBI_27027,GO_0000003,,,,,,,,,,,,Seed sulfur content per seed dry mass [TOP581] (https://top-thesaurus.org/index),,,,,,,,,,,,,,,,,,,,,1246
APD/0001511,leaf_cell_wall_N_per_cell_wall_dry_mass,Leaf cell wall nitrogen (N) per unit cell wall dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of nitrogen [CHEBI:25555] in the plant cell wall [GO:0009505] in a leaf [PO:0025034] to the cell wall dry mass in the leaf.,,"Includes measurements on leaf analogs, including cladodes and phylloclades.",https://github.com/traitecoevo/APD,STATO_0000251,numeric,0.1,10,mmol{N}/g,mmol /g,micromole per gram,live leaf mineral and ion content trait,,,,14/07/2021,,leaf_cell_wall_N,,PO_0025034,,,,PATO_0000125,ECSO_00000619,PATO_0001470,,,,,,,,,,,,,,,,,,,CHEBI_25555,CHEBI_33937,CL_0000000,GO_0009505,,,,,,,,,,,,,,,Leaf cell wall nitrogen (N) content per cell wall dry mass [TRY:3376] (https://www.try-db.org/de/de.php),Leaf cell wall nitrogen (N) content per leaf area [TRY:96] (https://www.try-db.org/de/de.php),,,,,,,,,,,,,,,,1511
APD/0001512,leaf_cell_wall_N_per_leaf_N,Leaf cell wall nitrogen (N) per unit leaf N content,The ratio [PATO:0001470] of the mass [PATO:0000125] of nitrogen [CHEBI:25555] in the plant cell wall [GO:0009505] in a leaf [PO:0025034] to the mass of nitrogen in the leaf.,,"Includes measurements on leaf analogs, including cladodes and phylloclades.",https://github.com/traitecoevo/APD,STATO_0000251,numeric,0.01,1,mg/mg,mg/mg,milligram per milligram,live leaf mineral and ion content trait,,,,14/07/2021,,leaf_cell_wall_N_fraction,,PO_0025034,,,,PATO_0000125,ECSO_00000619,PATO_0001470,,,,,,,,,,,,,,,,,,,CHEBI_25555,CHEBI_33937,CL_0000000,GO_0009505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1512
APD/0001513,leaf_rubisco_N_per_total_leaf_N,Leaf rubisco nitrogen (N) content per unit leaf N content,The ratio [PATO:0001470] of the mass [PATO:0000125] of nitrogen [CHEBI:25555] in rubisco [MESH:D012273] in a leaf [PO:0025034] to the mass of nitrogen in a leaf.,,"This trait is most commonly measured on leaf tissue. If the Rubisco concentration of a different tissue is measured, this should be explicitly noted in the methods or as a method context.",https://github.com/traitecoevo/APD,STATO_0000251,numeric,5,50,g/g,g/g,gram per gram,cell or tissue mineral and ion content trait,,,,14/07/2021,,cell_rubisco_N_per_total_N,,PO_0025034,,,,PATO_0000125,ECSO_00000619,PATO_0001470,,,,,,,,,,,,,,,,,,,CHEBI_25555,CHEBI_33937,CL_0000000,CHEBI_36080,D012273,GO_0009507,,,,,,,,,,,,,Leaf nitrogen (N) fraction in Rubisco [TRY:187] (https://www.try-db.org/de/de.php),,,,,,,,,,,,,,,,,1513
APD/0001514,leaf_thylakoid_N_per_total_leaf_N,Leaf thylakoid protein nitrogen (N) content per unit leaf N content,The ratio [PATO:0001470] of the mass [PATO:0000125] of nitrogen [CHEBI:25555] in thylakoid [GO:0009579] proteins [CHEBI:36080] in a leaf [PO:0025034] to the mass of nitrogen in a leaf.,,"This trait is most commonly measured on leaf tissue. If the Rubisco concentration of a different tissue is measured, this should be explicitly noted in the methods or as a method context.",https://github.com/traitecoevo/APD,STATO_0000251,numeric,5,30,g/g,g/g,gram per gram,cell or tissue mineral and ion content trait,,,,14/07/2021,,cell_thylakoid_N_per_total_N,,PO_0025034,,,,PATO_0000125,ECSO_00000619,PATO_0001470,,,,,,,,,,,,,,,,,,,CHEBI_25555,CHEBI_33937,CL_0000000,CHEBI_36080,GO_0009579,GO_0009507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1514
APD/0001611,leaf_epidermis_Ca_per_fresh_mass,Leaf epidermis calcium (Ca) content per unit leaf fresh mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of calcium [CHEBI:22984] in epidermal cells [PO:0004013] to epidermal cell fresh mass [APD:glossary/40044].,,,https://github.com/traitecoevo/APD,STATO_0000251,numeric,1,500,umol/g,umol/g,micromole per gram,cell or tissue mineral and ion content trait,,,,14/07/2021,,cell_epidermis_Ca_per_fresh_mass,,PO_0025034,,,,PATO_0000125,ECSO_00000619,PATO_0001470,APD:glossary/40044,,,,,,,,,,,,,,,,,,CHEBI_22984,PO_0004013,CL_0000000,CHEBI_27027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611
APD/0001612,leaf_hypodermis_Ca_per_fresh_mass,Leaf hypodermis calcium (Ca) content per unit leaf fresh mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of calcium [CHEBI:22984] in the hypodermis [PO:0005051] to hypodermis fresh mass [APD:glossary/40044].,,,https://github.com/traitecoevo/APD,STATO_0000251,numeric,1,500,umol/g,umol/g,micromole per gram,cell or tissue mineral and ion content trait,,,,14/07/2021,,cell_hypodermis_Ca_per_fresh_mass,,PO_0025034,,,,PATO_0000125,ECSO_00000619,PATO_0001470,APD:glossary/40044,,,,,,,,,,,,,,,,,,CHEBI_22984,PO_0005051,CL_0000000,CHEBI_27027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1612
APD/0001613,leaf_internal_parenchyma_Ca_per_fresh_mass,Leaf internal parenchyma cell calcium (Ca) content per unit leaf fresh mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of calcium [CHEBI:22984] in parenchyma cells [PO:0000074] to parenchyma cell fresh mass [APD:glossary/40044].,,,https://github.com/traitecoevo/APD,STATO_0000251,numeric,1,500,umol/g,umol/g,micromole per gram,cell or tissue mineral and ion content trait,,,,14/07/2021,,cell_internal_parenchyma_Ca_per_fresh_mass,,PO_0025034,,,,PATO_0000125,ECSO_00000619,PATO_0001470,APD:glossary/40044,,,,,,,,,,,,,,,,,,CHEBI_22984,PO_0000074,CL_0000000,CHEBI_27027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1613
APD/0001614,leaf_palisade_mesophyll_Ca_per_fresh_mass,Leaf palisade mesophyll cell calcium (Ca) content per unit leaf fresh mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of calcium [CHEBI:22984] in palisade mesophyll cells [PO:0006206] to palisade mesophyll cell fresh mass [APD:glossary/40044].,,,https://github.com/traitecoevo/APD,STATO_0000251,numeric,1,100,umol/g,umol/g,micromole per gram,cell or tissue mineral and ion content trait,,,,14/07/2021,,cell_palisade_mesophyll_Ca_per_fresh_mass,,PO_0025034,,,,PATO_0000125,ECSO_00000619,PATO_0001470,APD:glossary/40044,,,,,,,,,,,,,,,,,,CHEBI_22984,PO_0006206,CL_0000000,CHEBI_27027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1614
APD/0001615,leaf_sclerenchyma_Ca_per_fresh_mass,Leaf sclerenchyma cell calcium (Ca) content per unit leaf fresh mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of calcium [CHEBI:22984] in sclerenchyma cells [PO:0000077] to sclerenchyma cell fresh mass [APD:glossary/40044].,,,https://github.com/traitecoevo/APD,STATO_0000251,numeric,1,100,umol/g,umol/g,micromole per gram,cell or tissue mineral and ion content trait,,,,14/07/2021,,cell_sclerenchyma_Ca_per_fresh_mass,,PO_0025034,,,,PATO_0000125,ECSO_00000619,PATO_0001470,APD:glossary/40044,,,,,,,,,,,,,,,,,,CHEBI_22984,PO_0000077,CL_0000000,CHEBI_27027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1615
APD/0001616,leaf_spongy_mesophyll_Ca_per_fresh_mass,Leaf spongy mesophyll cell calcium (Ca) content per unit leaf fresh mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of calcium [CHEBI:22984] in spongy mesophyll cells [PO:0006205] to spongy mesophyll cell fresh mass [APD:glossary/40044].,,,https://github.com/traitecoevo/APD,STATO_0000251,numeric,1,1000,umol/g,umol/g,micromole per gram,cell or tissue mineral and ion content trait,,,,14/07/2021,,cell_spongy_mesophyll_Ca_per_fresh_mass,,PO_0025034,,,,PATO_0000125,ECSO_00000619,PATO_0001470,APD:glossary/40044,,,,,,,,,,,,,,,,,,CHEBI_22984,PO_0006205,CL_0000000,CHEBI_27027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1616
APD/0001661,leaf_epidermis_P_per_fresh_mass,Leaf epidermis phosphorus (P) content per unit leaf fresh mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of phosphorus [CHEBI:28659] in epidermal cells [PO:0004013] to epidermal cell fresh mass [APD:glossary/40044].,,,https://github.com/traitecoevo/APD,STATO_0000251,numeric,0,10,umol/g,umol/g,micromole per gram,cell or tissue mineral and ion content trait,,,,14/07/2021,,cell_epidermis_P_per_fresh_mass,,PO_0025034,,,,PATO_0000125,ECSO_00000619,PATO_0001470,APD:glossary/40044,,,,,,,,,,,,,,,,,,CHEBI_28659,PO_0004013,CL_0000000,CHEBI_33937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1661
APD/0001662,leaf_hypodermis_P_per_fresh_mass,Leaf hypodermis phosphorus (P) content per unit leaf fresh mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of phosphorus [CHEBI:28659] in the hypodermis [PO:0005051] to hypodermis fresh mass [APD:glossary/40044].,,,https://github.com/traitecoevo/APD,STATO_0000251,numeric,0,10,umol/g,umol/g,micromole per gram,cell or tissue mineral and ion content trait,,,,14/07/2021,,cell_hypodermis_P_per_fresh_mass,,PO_0025034,,,,PATO_0000125,ECSO_00000619,PATO_0001470,APD:glossary/40044,,,,,,,,,,,,,,,,,,CHEBI_28659,PO_0005051,CL_0000000,CHEBI_33937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1662
APD/0001663,leaf_internal_parenchyma_P_per_fresh_mass,Leaf internal parenchyma cell phosphorus (P) content per unit leaf fresh mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of phosphorus [CHEBI:28659] in parenchyma cells [PO:0000074] to parenchyma cell fresh mass [APD:glossary/40044].,,,https://github.com/traitecoevo/APD,STATO_0000251,numeric,0,10,umol/g,umol/g,micromole per gram,cell or tissue mineral and ion content trait,,,,14/07/2021,,cell_internal_parenchyma_P_per_fresh_mass,,PO_0025034,,,,PATO_0000125,ECSO_00000619,PATO_0001470,APD:glossary/40044,,,,,,,,,,,,,,,,,,CHEBI_28659,PO_0000074,CL_0000000,CHEBI_33937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1663
APD/0001664,leaf_palisade_mesophyll_P_per_fresh_mass,Leaf palisade mesophyll cell phosphorus (P) content per unit leaf fresh mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of phosphorus [CHEBI:28659] in palisade mesophyll cells [PO:0006206] to palisade mesophyll cell fresh mass [APD:glossary/40044].,,,https://github.com/traitecoevo/APD,STATO_0000251,numeric,0,30,umol/g,umol/g,micromole per gram,cell or tissue mineral and ion content trait,,,,14/07/2021,,cell_palisade_mesophyll_P_per_fresh_mass,,PO_0025034,,,,PATO_0000125,ECSO_00000619,PATO_0001470,APD:glossary/40044,,,,,,,,,,,,,,,,,,CHEBI_28659,PO_0006206,CL_0000000,CHEBI_33937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1664
APD/0001665,leaf_sclerenchyma_P_per_fresh_mass,Leaf sclerenchyma cell phosphorus (P) content per unit leaf fresh mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of phosphorus [CHEBI:28659] in sclerenchyma cells [PO:0000077] to sclerenchyma cell fresh mass [APD:glossary/40044].,,,https://github.com/traitecoevo/APD,STATO_0000251,numeric,0,10,umol/g,umol/g,micromole per gram,cell or tissue mineral and ion content trait,,,,14/07/2021,,cell_sclerenchyma_P_per_fresh_mass,,PO_0025034,,,,PATO_0000125,ECSO_00000619,PATO_0001470,APD:glossary/40044,,,,,,,,,,,,,,,,,,CHEBI_28659,PO_0000077,CL_0000000,CHEBI_33937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1665
APD/0001666,leaf_spongy_mesophyll_P_per_fresh_mass,Leaf spongy mesophyll cell phosphorus (P) content per unit leaf fresh mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of phosphorus [CHEBI:28659] in spongy mesophyll cells [PO:0006205] to spongy mesophyll cell fresh mass [APD:glossary/40044].,,,https://github.com/traitecoevo/APD,STATO_0000251,numeric,0,30,umol/g,umol/g,micromole per gram,cell or tissue mineral and ion content trait,,,,14/07/2021,,cell_spongy_mesophyll_P_per_fresh_mass,,PO_0025034,,,,PATO_0000125,ECSO_00000619,PATO_0001470,APD:glossary/40044,,,,,,,,,,,,,,,,,,CHEBI_28659,PO_0006205,CL_0000000,CHEBI_33937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1666
APD/0002021,leaf_total_non-structural_carbohydrates_per_area,Leaf total non-structural carbohydrate content per unit leaf area,"The ratio [PATO:0001470] of the mass [PATO:0000125] of non-structural carbohydrates [CHEBI:16646] (sugars [APD:glossary/40106]) in a leaf [PO:0025034] to leaf area [PATO:0001323], where non-structural carbohydrates are carbohydrates that do not comprise the cell wall [GO:0009505].",,,https://github.com/traitecoevo/APD,STATO_0000251,numeric,0.1,50,g/m2,g/m2,gram per square metre,carbohydrate content trait,,,,14/07/2021,,,,PO_0025034,,,,PATO_0000125,EnvThes:22003,PATO_0001470,,,,,,,,,,,,,,,,,,,CHEBI_16646,CHEBI_28017,APD:glossary/40106,APD:glossary/40062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
APD/0002022,leaf_total_non-structural_carbohydrates_per_mass,Leaf total non-structural carbohydrate content per unit leaf dry mass,"The ratio [PATO:0001470] of the mass [PATO:0000125] of non-structural carbohydrates [CHEBI:16646] (sugars [APD:glossary/40106]) in a leaf [PO:0025034] to leaf dry mass [TO:0001014], where non-structural carbohydrates are carbohydrates that do not comprise the cell wall [GO:0009505].",,,https://github.com/traitecoevo/APD,STATO_0000251,numeric,10,200,mg/g,mg/g,milligram per gram,carbohydrate content trait,,,,14/07/2021,,,,PO_0025034,,,,PATO_0000125,EnvThes:22003,PATO_0001470,,,,,,,,,,,,,,,,,,,CHEBI_16646,CHEBI_28017,APD:glossary/40106,APD:glossary/40062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
APD/0002024,leaf_cellulose_per_dry_mass,Leaf cellulose content per unit leaf dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of cellulose [CHEBI:62967] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,,,https://github.com/traitecoevo/APD,STATO_0000251,numeric,0.01,1,mg/mg,mg/mg,milligram per milligram,carbohydrate content trait,,,,14/07/2021,,,,PO_0025034,,,,PATO_0000125,ECSO_00000619,PATO_0001470,,,,,,,,,,,,,,,,,,,CHEBI_62967,CHEBI_16646,,,,,,,,,,,,,Leaf cellulose content per leaf dry mass [TOP819] (https://top-thesaurus.org/index),,,,Leaf cellulose content per leaf dry mass [TRY:92] (https://www.try-db.org/de/de.php),,,,,,,,,,,,,,,,,2024
APD/0002025,leaf_starch_per_area,Leaf starch content per unit leaf area,The ratio [PATO:0001470] of the mass [PATO:0000125] of total starch [CHEBI:28017] in a leaf [PO:0025034] to leaf area [PATO:0001323].,,,https://github.com/traitecoevo/APD,STATO_0000251,numeric,0.1,50,g/m2,g/m2,gram per square metre,carbohydrate content trait,,,,14/07/2021,,starch_per_area,,PO_0025034,,,,PATO_0000125,EnvThes:22003,PATO_0001470,,,,,,,,,,,,,,,,,,,CHEBI_28017,CHEBI_16646,,,,,,,,,,,,TO_0000696,,,,,Leaf starch content per leaf dry mass [TRY:505] (https://www.try-db.org/de/de.php),,,,,,,,,,,,,,,,,2025
APD/0002027,leaf_soluble_starch_per_area,Leaf soluble starch content per unit leaf area,The ratio [PATO:0001470] of the mass [PATO:0000125] of water [CHEBI:15377] soluble [PATO:0001537] starch [CHEBI:28017] in a leaf [PO:0025034] to leaf area [PATO:0001323].,,,https://github.com/traitecoevo/APD,STATO_0000251,numeric,0.1,100,g/m2,g/m2,gram per square metre,carbohydrate content trait,,,,14/07/2021,,soluble_starch_per_area,,PO_0025034,,,,PATO_0000125,EnvThes:22003,PATO_0001470,,,,,,,,,,,,,,,,,,,CHEBI_28017,CHEBI_16646,,,,,,,,,,,,,,,,,Leaf starch content per leaf dry mass [TRY:505] (https://www.try-db.org/de/de.php),,,,,,,,,,,,,,,,,2027
APD/0002028,leaf_soluble_starch_per_mass,Leaf soluble starch content per unit leaf dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of water [CHEBI:15377] soluble [PATO:0001537] starch [CHEBI:28017] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,,,https://github.com/traitecoevo/APD,STATO_0000251,numeric,0.1,200,mg/g,mg/g,milligram per gram,carbohydrate content trait,,,,14/07/2021,,,,PO_0025034,,,,PATO_0000125,ECSO_00000619,PATO_0001470,,,,,,,,,,,,,,,,,,,CHEBI_28017,CHEBI_16646,,,,,,,,,,,,,,,,,Leaf starch content per leaf dry mass [TRY:505] (https://www.try-db.org/de/de.php),,,,,,,,,,,,,,,,,2028
APD/0002031,leaf_soluble_sugars_per_area,Leaf soluble sugar content per unit leaf area,"The ratio [PATO:0001470] of the mass [PATO:0000125] of sugar [APD:glossary/40106] in a leaf [PO:0025034] to leaf area [PATO:0001323], where 'sugar' refers to an informal grouping of carbohydrates [CHEBI:16646] that are soluble in [PATO:0001537] water [CHEBI:15377], including both monosaccharides [CHEBI:35381] and disaccharides [CHEBI:36233].",,,https://github.com/traitecoevo/APD,STATO_0000251,numeric,0.1,100,g/m2,g/m2,gram per square metre,carbohydrate content trait,,,,14/07/2021,,soluble_sugars_per_area,,PO_0025034,,,,PATO_0000125,EnvThes:22003,PATO_0001470,,,,,,,,,,,,,,,,,,,CHEBI_16646,CHEBI_35381,CHEBI_36233,APD:glossary/40106,,,,,,,,,,,Leaf sugar content per leaf area [TOP920] (https://top-thesaurus.org/index),,,,Leaf sugar content per leaf dry mass [TRY:506] (https://www.try-db.org/de/de.php),,,,,,,,,,,,,,,,,2031
APD/0002032,leaf_soluble_sugars_per_mass,Leaf soluble sugar content per unit leaf dry mass,"The ratio [PATO:0001470] of the mass [PATO:0000125] of sugar [APD:glossary/40106] in a leaf [PO:0025034] to leaf dry mass [TO:0001014], where 'sugar' refers to an informal grouping of carbohydrates [CHEBI:16646] that are soluble in [PATO:0001537] water [CHEBI:15377], including both monosaccharides [CHEBI:35381] and disaccharides [CHEBI:36233].",,,https://github.com/traitecoevo/APD,STATO_0000251,numeric,1,200,mg/g,mg/g,milligram per gram,carbohydrate content trait,,,,14/07/2021,,,,PO_0025034,,,,PATO_0000125,ECSO_00000619,PATO_0001470,,,,,,,,,,,,,,,,,,,CHEBI_16646,CHEBI_35381,CHEBI_36233,APD:glossary/40106,,,,,,,,,,,Leaf sugar content per leaf dry mass [TOP919] (https://top-thesaurus.org/index),,,,Leaf sugar content per leaf dry mass [TRY:506] (https://www.try-db.org/de/de.php),,,,,,,,,,,,,,,,,2032
APD/0002035,leaf_soluble_protein_per_area,Leaf soluble protein content per unit leaf area,The ratio [PATO:0001470] of the mass [PATO:0000125] of water [CHEBI:15377] soluble [PATO:0001537] protein [CHEBI:36080] in a leaf [PO:0025034] to leaf area [PATO:0001323].,,,https://github.com/traitecoevo/APD,STATO_0000251,numeric,0.1,20,g/m2,g/m2,gram per square metre,protein content trait,,,,14/07/2021,,soluble_protein_per_area,,PO_0025034,,,,PATO_0000125,EnvThes:22003,PATO_0001470,,,,,,,,,,,,,,,,,,,CHEBI_36080,,,,,,,,,,,,,,,,,,,Leaf protein content per leaf dry mass [TRY:503] (https://www.try-db.org/de/de.php),,,,,,,,,,,,,,,,2035
APD/0002037,leaf_insoluble_protein_per_area,Leaf insoluble protein content per unit leaf area,The ratio [PATO:0001470] of the mass [PATO:0000125] of water [CHEBI:15377] insoluble [PATO:0001538] protein [CHEBI:36080] in a leaf [PO:0025034] to leaf area [PATO:0001323].,,,https://github.com/traitecoevo/APD,STATO_0000251,numeric,0.1,20,g/m2,g/m2,gram per square metre,protein content trait,,,,14/07/2021,,insoluble_protein_per_area,,PO_0025034,,,,PATO_0000125,EnvThes:22003,PATO_0001470,,,,,,,,,,,,,,,,,,,CHEBI_36080,,,,,,,,,,,,,,,,,,,Leaf protein content per leaf dry mass [TRY:503] (https://www.try-db.org/de/de.php),,,,,,,,,,,,,,,,2037
APD/0002050,leaf_lignin_per_dry_mass,Leaf lignin content per unit leaf dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of lignin [CHEBI:6457] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,,,https://github.com/traitecoevo/APD,STATO_0000251,numeric,10,1000,mg/g,mg/g,milligram per gram,phenolic compound content trait,,,,14/07/2021,13/02/2023,,,PO_0025034,,,,PATO_0000125,ECSO_00000619,PATO_0001470,,,,Félix de Tombeur,,,,,,,,,,,,,,,CHEBI_6457,,,,,,,,,,,,,,Leaf lignin content per leaf dry mass [TOP844] (https://top-thesaurus.org/index),,,,Leaf lignin content per leaf dry mass [TRY:87] (https://www.try-db.org/de/de.php),,,,,,,,,,,,,,,,,2050
APD/0002052,leaf_phenol_per_dry_mass,Total leaf phenolic content per unit leaf dry mass,"The ratio [PATO:0001470] of the mass [PATO:0000125] of phenol [CHEBI:33853] in a leaf [PO:0025034] to leaf dry mass [TO:0001014], where phenol content is measured as gallic acid [CHEBI:30778] equivalents.",,,https://github.com/traitecoevo/APD,STATO_0000251,numeric,1,1000,mg/g,mg/g,milligram per gram,phenolic compound content trait,,,,14/07/2021,13/02/2023,leaf_phenol_content_per_dry_mass,,PO_0025034,,,,PATO_0000125,ECSO_00000619,PATO_0001470,,,,Félix de Tombeur,,,,,,,,,,Salminen & Karonen 2011,,,,,CHEBI_33853,CHEBI_30778,,,,,,,,,,,,,,,,,Leaf phenols content per leaf dry mass [TRY:147] (https://www.try-db.org/de/de.php),,,,,,,,,,,,,,,,,2052
