identifier,trait,label,description_encoded,description,comments,inScheme,type,min,max,units,units_uom,category,created,modified,reviewed,deprecated_trait_name,constraints,structure,measured_characteristic,reviewers,references,keywords,exact_match,close_match,related_match,TOP_exact,TOP_close,TOP_related,TRY_exact,TRY_close,TRY_related,LEDA_exact,LEDA_close,LEDA_related,GIFT_exact,GIFT_close,GIFT_related,BIEN_exact,BIEN_close,BIEN_related,BROT_exact,BROT_close,BROT_related,PalmTraits_exact,PalmTraits_close
trait_0000634,bark_Mn_per_dry_mass,Bark manganese (Mn) content per unit bark dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of manganese [CHEBI:18291] in bark [PO:0004518] to bark dry mass.,The ratio of the mass of manganese in bark to bark dry mass.,,https://w3id.org/APD,STATO_0000251,0.001,1,mg/g,milligram per gram,trait_group_0000206,14/07/2021,05/02/2024,,,,PO_0004518,PATO_0000125; ECSO_00000619; PATO_0001470,,,CHEBI_18291; CHEBI_27027,,,,Bark manganese content per bark dry mass [TOP382] (https://top-thesaurus.org/index),,,Bark manganese (Mn) content per bark dry mass [TRY:2962] (https://www.try-db.org/de/de.php),,,,,,,,,,,,,,,,
trait_0000638,bark_N_per_dry_mass,Bark nitrogen (N) content per unit bark dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of nitrogen [CHEBI:25555] in bark [PO:0004518] to bark dry mass.,The ratio of the mass of nitrogen in bark to bark dry mass.,,https://w3id.org/APD,STATO_0000251,0.1,100,mg/g,milligram per gram,trait_group_0000206,14/07/2021,05/02/2024,,,,PO_0004518,PATO_0000125; ECSO_00000619; PATO_0001470,,,CHEBI_25555; CHEBI_33937,,,,Bark nitrogen content per bark dry mass [TOP386] (https://top-thesaurus.org/index),,,Bark nitrogen (N) content per bark dry mass [TRY:618] (https://www.try-db.org/de/de.php),,,,,,,,,,,,,,,,
trait_0000640,bark_Na_per_dry_mass,Bark sodium (Na) content per unit bark dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of sodium [CHEBI:26708] in bark [PO:0004518] to bark dry mass.,The ratio of the mass of sodium in bark to bark dry mass.,,https://w3id.org/APD,STATO_0000251,0.01,100,mg/g,milligram per gram,trait_group_0000206,14/07/2021,05/02/2024,,,,PO_0004518,PATO_0000125; ECSO_00000619; PATO_0001470,,,CHEBI_26708; CHEBI_27027,,,,Bark sodium content per bark dry mass [TOP384] (https://top-thesaurus.org/index),,,,,,,,,,,,,,,,,,,
trait_0000644,bark_P_per_dry_mass,Bark phosphorus (P) content per unit bark dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of phosphorus [CHEBI:28659] in bark [PO:0004518] to bark dry mass.,The ratio of the mass of phosphorus in bark to bark dry mass.,,https://w3id.org/APD,STATO_0000251,0.001,10,mg/g,milligram per gram,trait_group_0000206,14/07/2021,05/02/2024,,,,PO_0004518,PATO_0000125; ECSO_00000619; PATO_0001470,,,CHEBI_28659; CHEBI_33937,,,,Bark phosphorus content per bark dry mass [TOP387] (https://top-thesaurus.org/index),,,Bark phosphorus (P) content per bark dry mass [TRY:619] (https://www.try-db.org/de/de.php),,,,,,,,,,,,,,,,
trait_0000646,bark_S_per_dry_mass,Bark sulphur (S) content per unit bark dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of sulphur [CHEBI:26833] in bark [PO:0004518] to bark dry mass.,The ratio of the mass of sulphur in bark to bark dry mass.,,https://w3id.org/APD,STATO_0000251,0.1,100,mg/g,milligram per gram,trait_group_0000206,14/07/2021,05/02/2024,,,,PO_0004518,PATO_0000125; ECSO_00000619; PATO_0001470,,,CHEBI_26833; CHEBI_27027,,,,Bark sulfur content per bark dry mass [TOP390] (https://top-thesaurus.org/index),,,Bark sulfur (S) content per bark dry mass [TRY:2963] (https://www.try-db.org/de/de.php),,,,,,,,,,,,,,,,
trait_0000652,bark_Zn_per_dry_mass,Bark zinc (Zn) content per unit bark dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of zinc [CHEBI:27363] in bark [PO:0004518] to bark dry mass.,The ratio of the mass of zinc in bark to bark dry mass.,,https://w3id.org/APD,STATO_0000251,0.001,10,mg/g,milligram per gram,trait_group_0000206,14/07/2021,05/02/2024,,,,PO_0004518,PATO_0000125; ECSO_00000619; PATO_0001470,,,CHEBI_27363; CHEBI_27027,,,,Bark zinc content per bark dry mass [TOP391] (https://top-thesaurus.org/index),,,Bark zinc (Zn) content per bark dry mass [TRY:2964] (https://www.try-db.org/de/de.php),,,,,,,,,,,,,,,,
trait_0000816,root_C_per_dry_mass,Root carbon (C) content per unit root dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of carbon [CHEBI:27594] in roots [PO:0009005] to root dry mass.,The ratio of the mass of carbon in roots to root dry mass.,,https://w3id.org/APD,STATO_0000251,50,750,mg/g,milligram per gram,trait_group_0000808,14/07/2021,05/02/2024,,,,PO_0009005,PATO_0000125; ECSO_00000619; PATO_0001470,,,CHEBI_27594,TO_0003090,,,Root carbon content per root dry mass trait [TOP713] (https://top-thesaurus.org/index),,,Root carbon (C) content per root dry mass [TRY:84] (https://www.try-db.org/de/de.php),,,,,,,,,,,,,,,,
trait_0000838,root_N_per_dry_mass,Root nitrogen (N) content per unit root dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of nitrogen [CHEBI:25555] in roots [PO:0009005] to root dry mass.,The ratio of the mass of nitrogen in roots to root dry mass.,,https://w3id.org/APD,STATO_0000251,0.1,100,mg/g,milligram per gram,trait_group_0000808,14/07/2021,05/02/2024,,,,PO_0009005,PATO_0000125; ECSO_00000619; PATO_0001470,,,CHEBI_25555; CHEBI_33937,TO_0003074,,,Root nitrogen content per root dry mass trait [TOP723] (https://top-thesaurus.org/index),,,Root nitrogen (N) content per root dry mass [TRY:80] (https://www.try-db.org/de/de.php),,,,,,,,,,,,,,,,
trait_0000844,root_P_per_dry_mass,Root phosphorus (P) content per unit root dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of phosphorus [CHEBI:28659] in roots [PO:0009005] to root dry mass.,The ratio of the mass of phosphorus in roots to root dry mass.,,https://w3id.org/APD,STATO_0000251,0.01,100,mg/g,milligram per gram,trait_group_0000808,14/07/2021,05/02/2024,,,,PO_0009005,PATO_0000125; ECSO_00000619; PATO_0001470,,,CHEBI_28659; CHEBI_33937,TO_1000043,,,,,,,,,,,,,,,,,,,,,,
trait_0001038,flower_N_per_dry_mass,Flower nitrogen (N) content per unit flower dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of nitrogen [CHEBI:25555] in flowers [PO:0009046] to flower dry mass.,The ratio of the mass of nitrogen in flowers to flower dry mass.,,https://w3id.org/APD,STATO_0000251,0.5,100,mg/g,milligram per gram,trait_group_0001006,14/07/2021,05/02/2024,,,,PO_0025082; PO_0009046,PATO_0000125; ECSO_00000619; PATO_0001470,,,GO_0000003; CHEBI_25555; CHEBI_33937,,,,,,,,,,,,,,,,,,,,,,,
trait_0001118,fruit_Ca_per_dry_mass,Fruit calcium (Ca) content per unit fruit dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of calcium [CHEBI:22984] in fruit [PO:0009001] to fruit dry mass.,The ratio of the mass of calcium in fruit to fruit dry mass.,,https://w3id.org/APD,STATO_0000251,0.5,100,mg/g,milligram per gram,trait_group_0001006,14/07/2021,05/02/2024,,,,PO_0025082; PO_0009001,PATO_0000125; ECSO_00000619; PATO_0001470,,,CHEBI_22984; CHEBI_27027; GO_0000003,,,,,,,,,,,,,,,,,,,,,,,
trait_0001130,fruit_K_per_dry_mass,Fruit potassium (K) content per unit fruit dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of potassium [CHEBI:26216] in fruit [PO:0009001] to fruit dry mass.,The ratio of the mass of potassium in fruit to fruit dry mass.,,https://w3id.org/APD,STATO_0000251,0.5,100,mg/g,milligram per gram,trait_group_0001006,14/07/2021,05/02/2024,,,,PO_0025082; PO_0009001,PATO_0000125; ECSO_00000619; PATO_0001470,,,CHEBI_26216; CHEBI_33937; GO_0000003,,,,,,,,,,,,,,,,,,,,,,,
trait_0001132,fruit_Mg_per_dry_mass,Fruit magnesium (Mg) content per unit fruit dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of magnesium [CHEBI:25107] in fruit [PO:0009001] to fruit dry mass.,The ratio of the mass of magnesium in fruit to fruit dry mass.,,https://w3id.org/APD,STATO_0000251,0.05,10,mg/g,milligram per gram,trait_group_0001006,14/07/2021,05/02/2024,,,,PO_0025082; PO_0009001,PATO_0000125; ECSO_00000619; PATO_0001470,,,CHEBI_25107; CHEBI_27027; GO_0000003,,,,,,,,,,,,,,,,,,,,,,,
trait_0001138,fruit_N_per_dry_mass,Fruit nitrogen (N) content per unit fruit dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of nitrogen [CHEBI:25555] in fruit [PO:0009001] to fruit dry mass.,The ratio of the mass of nitrogen in fruit to fruit dry mass.,,https://w3id.org/APD,STATO_0000251,0.5,100,mg/g,milligram per gram,trait_group_0001006,14/07/2021,05/02/2024,,,,PO_0025082; PO_0009001,PATO_0000125; ECSO_00000619; PATO_0001470,,,CHEBI_25555; CHEBI_33937; GO_0000003,,,,,,,,,,,,,,,,,,,,,,,
trait_0001144,fruit_P_per_dry_mass,Fruit phosphorus (P) content per unit fruit dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of phosphorus [CHEBI:28659] in fruit [PO:0009001] to fruit dry mass.,The ratio of the mass of phosphorus in fruit to fruit dry mass.,,https://w3id.org/APD,STATO_0000251,0.01,10,mg/g,milligram per gram,trait_group_0001006,14/07/2021,05/02/2024,,,,PO_0025082; PO_0009001,PATO_0000125; ECSO_00000619; PATO_0001470,,,CHEBI_28659; CHEBI_33937; GO_0000003,,,,,,,,,,,,,,,,,,,,,,,
trait_0001146,fruit_S_per_dry_mass,Fruit sulphur (S) content per unit fruit dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of sulphur [CHEBI:26833] in fruit [PO:0009001] to fruit dry mass.,The ratio of the mass of sulphur in fruit to fruit dry mass.,,https://w3id.org/APD,STATO_0000251,0.05,10,mg/g,milligram per gram,trait_group_0001006,14/07/2021,05/02/2024,,,,PO_0025082; PO_0009001,PATO_0000125; ECSO_00000619; PATO_0001470,,,CHEBI_26833; CHEBI_27027; GO_0000003,,,,,,,,,,,,,,,,,,,,,,,
trait_0001218,seed_Ca_per_seed_dry_mass,Seed calcium (Ca) content per unit seed dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of calcium [CHEBI:22984] in seeds [PO:0009010] to seed dry mass.,The ratio of the mass of calcium in seeds to seed dry mass.,,https://w3id.org/APD,STATO_0000251,1,100,mg/g,milligram per gram,trait_group_0001006,14/07/2021,05/02/2024,,seed_Ca_concentration,,PO_0025082; PO_0009010,PATO_0000125; ECSO_00000619; PATO_0001470,,,CHEBI_22984; CHEBI_27027; GO_0000003,,,,Seed calcium content per seed dry mass [TOP566] (https://top-thesaurus.org/index),,,,,,,,,,,,,,,,,,,
trait_0001230,seed_K_per_seed_dry_mass,Seed potassium (K) content per unit seed dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of potassium [CHEBI:26216] in seeds [PO:0009010] to seed dry mass.,The ratio of the mass of potassium in seeds to seed dry mass.,,https://w3id.org/APD,STATO_0000251,1,100,mg/g,milligram per gram,trait_group_0001006,14/07/2021,05/02/2024,,seed_K_concentration,,PO_0025082; PO_0009010,PATO_0000125; ECSO_00000619; PATO_0001470,,,CHEBI_26216; CHEBI_33937; GO_0000003,,,,Seed potassium content per seed dry mass [TOP579] (https://top-thesaurus.org/index),,,,,,,,,,,,,,,,,,,
trait_0001232,seed_Mg_per_seed_dry_mass,Seed magnesium (Mg) content per unit seed dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of magnesium [CHEBI:25107] in seeds [PO:0009010] to seed dry mass.,The ratio of the mass of magnesium in seeds to seed dry mass.,,https://w3id.org/APD,STATO_0000251,0.1,100,mg/g,milligram per gram,trait_group_0001006,14/07/2021,05/02/2024,,seed_Mg_concentration,,PO_0025082; PO_0009010,PATO_0000125; ECSO_00000619; PATO_0001470,,,CHEBI_25107; CHEBI_27027; GO_0000003,,,,Seed magnesium content per seed dry mass [TOP572] (https://top-thesaurus.org/index),,,,,,,,,,,,,,,,,,,
trait_0001238,seed_N_per_seed_dry_mass,Seed nitrogen (N) content per unit seed dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of nitrogen [CHEBI:25555] in seeds [PO:0009010] to seed dry mass.,The ratio of the mass of nitrogen in seeds to seed dry mass.,,https://w3id.org/APD,STATO_0000251,10,1000,mg/g,milligram per gram,trait_group_0001006,14/07/2021,05/02/2024,,seed_N_concentration,,PO_0025082; PO_0009010,PATO_0000125; ECSO_00000619; PATO_0001470,,,CHEBI_25555; CHEBI_33937; GO_0000003,EnvThes:22087,,,Seed nitrogen content per seed dry mass [TOP577] (https://top-thesaurus.org/index),,,Seed nitrogen (N) content per dry mass (or diaspore) [TRY:2945] (https://www.try-db.org/de/de.php),,,,,,,,,,,,,,,,
trait_0001244,seed_P_per_seed_dry_mass,Seed phosphorus (P) content per unit seed dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of phosphorus [CHEBI:28659] in seeds [PO:0009010] to seed dry mass.,The ratio of the mass of phosphorus in seeds to seed dry mass.,,https://w3id.org/APD,STATO_0000251,1,100,mg/g,milligram per gram,trait_group_0001006,14/07/2021,05/02/2024,,seed_P_concentration,,PO_0025082; PO_0009010,PATO_0000125; ECSO_00000619; PATO_0001470,,,CHEBI_28659; CHEBI_33937; GO_0000003,TO_0002666,,,Seed phosphorus content per seed dry mass [TOP578] (https://top-thesaurus.org/index),,,Seed phosphorus (P) content per dry mass (or diaspore) [TRY:3000] (https://www.try-db.org/de/de.php),,,,,,,,,,,,,,,,
trait_0001246,seed_S_per_seed_dry_mass,Seed sulphur (S) content per unit seed dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of sulphur [CHEBI:26833] in seeds [PO:0009010] to seed dry mass.,The ratio of the mass of sulphur in seeds to seed dry mass.,,https://w3id.org/APD,STATO_0000251,0.1,100,mg/g,milligram per gram,trait_group_0001006,14/07/2021,05/02/2024,,seed_S_concentration,,PO_0025082; PO_0009010,PATO_0000125; ECSO_00000619; PATO_0001470,,,CHEBI_26833; CHEBI_27027; GO_0000003,,,,Seed sulfur content per seed dry mass [TOP581] (https://top-thesaurus.org/index),,,,,,,,,,,,,,,,,,,
trait_0001511,leaf_cell_wall_N_per_cell_wall_dry_mass,Leaf cell wall nitrogen (N) per unit cell wall dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of nitrogen [CHEBI:25555] in the plant cell wall [GO:0009505] in a leaf [PO:0025034] to the cell wall dry mass in the leaf.,The ratio of the mass of nitrogen in the plant cell wall in a leaf to the cell wall dry mass in the leaf.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",https://w3id.org/APD,STATO_0000251,0.1,10,mmol{N}/g,micromole per gram,trait_group_0000008,14/07/2021,05/02/2024,,leaf_cell_wall_N,,PO_0025034,PATO_0000125; ECSO_00000619; PATO_0001470,,,CHEBI_25555; CHEBI_33937; CL_0000000; GO_0009505,,,,,,,Leaf cell wall nitrogen (N) content per cell wall dry mass [TRY:3376] (https://www.try-db.org/de/de.php),Leaf cell wall nitrogen (N) content per leaf area [TRY:3377] (https://www.try-db.org/de/de.php),,,,,,,,,,,,,,,
trait_0001512,leaf_cell_wall_N_per_leaf_N,Leaf cell wall nitrogen (N) per unit leaf N content,The ratio [PATO:0001470] of the mass [PATO:0000125] of nitrogen [CHEBI:25555] in the plant cell wall [GO:0009505] in a leaf [PO:0025034] to the mass of nitrogen in the leaf.,The ratio of the mass of nitrogen in the plant cell wall in a leaf to the mass of nitrogen in the leaf.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",https://w3id.org/APD,STATO_0000251,0.01,1,mg/mg,milligram per milligram,trait_group_0000008,14/07/2021,05/02/2024,,leaf_cell_wall_N_fraction,,PO_0025034,PATO_0000125; ECSO_00000619; PATO_0001470,,,CHEBI_25555; CHEBI_33937; CL_0000000; GO_0009505,,,,,,,,,,,,,,,,,,,,,,,
trait_0001513,leaf_rubisco_N_per_total_leaf_N,Leaf rubisco nitrogen (N) content per unit leaf N content,The ratio [PATO:0001470] of the mass [PATO:0000125] of nitrogen [CHEBI:25555] in rubisco [MESH:D012273] in a leaf [PO:0025034] to the mass of nitrogen in a leaf.,The ratio of the mass of nitrogen in rubisco in a leaf to the mass of nitrogen in a leaf.,"This trait is most commonly measured on leaf tissue. If the Rubisco concentration of a different tissue is measured, this should be explicitly noted in the methods or as a method context.",https://w3id.org/APD,STATO_0000251,0.05,0.5,g/g,gram per gram,trait_group_0001502,14/07/2021,05/02/2024,,cell_rubisco_N_per_total_N,,PO_0025034,PATO_0000125; ECSO_00000619; PATO_0001470,,,CHEBI_25555; CHEBI_33937; CL_0000000; CHEBI_36080; D012273; GO_0009507,,,TO_0000321,,,,Leaf nitrogen (N) fraction in Rubisco [TRY:187] (https://www.try-db.org/de/de.php),,,,,,,,,,,,,,,,
trait_0001514,leaf_thylakoid_N_per_total_leaf_N,Leaf thylakoid protein nitrogen (N) content per unit leaf N content,The ratio [PATO:0001470] of the mass [PATO:0000125] of nitrogen [CHEBI:25555] in thylakoid [GO:0009579] proteins [CHEBI:36080] in a leaf [PO:0025034] to the mass of nitrogen in a leaf.,The ratio of the mass of nitrogen in thylakoid proteins in a leaf to the mass of nitrogen in a leaf.,"This trait is most commonly measured on leaf tissue. If the Rubisco concentration of a different tissue is measured, this should be explicitly noted in the methods or as a method context.",https://w3id.org/APD,STATO_0000251,0.05,0.3,g/g,gram per gram,trait_group_0001502,14/07/2021,05/02/2024,,cell_thylakoid_N_per_total_N,,PO_0025034,PATO_0000125; ECSO_00000619; PATO_0001470,,,CHEBI_25555; CHEBI_33937; CL_0000000; CHEBI_36080; GO_0009579; GO_0009507,,,,,,,,,,,,,,,,,,,,,,,
trait_0001611,leaf_epidermis_Ca_per_fresh_mass,Leaf epidermis calcium (Ca) content per unit leaf fresh mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of calcium [CHEBI:22984] in epidermal cells [PO:0004013] to epidermal cell fresh mass [APD:glossary/40044].,The ratio of the mass of calcium in epidermal cells to epidermal cell fresh mass.,,https://w3id.org/APD,STATO_0000251,1,500,umol{Ca}/g,micromole per gram,trait_group_0001502,14/07/2021,03/06/2025,,cell_epidermis_Ca_per_fresh_mass,,PO_0025034,PATO_0000125; ECSO_00000619; PATO_0001470; glossary_40044,,,CHEBI_22984; PO_0004013; CL_0000000; CHEBI_27027,,,,,,,,,,,,,,,,,,,,,,,
trait_0001612,leaf_hypodermis_Ca_per_fresh_mass,Leaf hypodermis calcium (Ca) content per unit leaf fresh mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of calcium [CHEBI:22984] in the hypodermis [PO:0005051] to hypodermis fresh mass [APD:glossary/40044].,The ratio of the mass of calcium in the hypodermis to hypodermis fresh mass.,,https://w3id.org/APD,STATO_0000251,1,500,umol{Ca}/g,micromole per gram,trait_group_0001502,14/07/2021,03/06/2025,,cell_hypodermis_Ca_per_fresh_mass,,PO_0025034,PATO_0000125; ECSO_00000619; PATO_0001470; glossary_40044,,,CHEBI_22984; PO_0005051; CL_0000000; CHEBI_27027,,,,,,,,,,,,,,,,,,,,,,,
trait_0001613,leaf_internal_parenchyma_Ca_per_fresh_mass,Leaf internal parenchyma cell calcium (Ca) content per unit leaf fresh mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of calcium [CHEBI:22984] in parenchyma cells [PO:0000074] to parenchyma cell fresh mass [APD:glossary/40044].,The ratio of the mass of calcium in parenchyma cells to parenchyma cell fresh mass.,,https://w3id.org/APD,STATO_0000251,1,500,umol{Ca}/g,micromole per gram,trait_group_0001502,14/07/2021,03/06/2025,,cell_internal_parenchyma_Ca_per_fresh_mass,,PO_0025034,PATO_0000125; ECSO_00000619; PATO_0001470; glossary_40044,,,CHEBI_22984; PO_0000074; CL_0000000; CHEBI_27027,,,,,,,,,,,,,,,,,,,,,,,
trait_0001614,leaf_palisade_mesophyll_Ca_per_fresh_mass,Leaf palisade mesophyll cell calcium (Ca) content per unit leaf fresh mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of calcium [CHEBI:22984] in palisade mesophyll cells [PO:0006206] to palisade mesophyll cell fresh mass [APD:glossary/40044].,The ratio of the mass of calcium in palisade mesophyll cells to palisade mesophyll cell fresh mass.,,https://w3id.org/APD,STATO_0000251,1,100,umol{Ca}/g,micromole per gram,trait_group_0001502,14/07/2021,03/06/2025,,cell_palisade_mesophyll_Ca_per_fresh_mass,,PO_0025034,PATO_0000125; ECSO_00000619; PATO_0001470; glossary_40044,,,CHEBI_22984; PO_0006206; CL_0000000; CHEBI_27027,,,,,,,,,,,,,,,,,,,,,,,
trait_0001615,leaf_sclerenchyma_Ca_per_fresh_mass,Leaf sclerenchyma cell calcium (Ca) content per unit leaf fresh mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of calcium [CHEBI:22984] in sclerenchyma cells [PO:0000077] to sclerenchyma cell fresh mass [APD:glossary/40044].,The ratio of the mass of calcium in sclerenchyma cells to sclerenchyma cell fresh mass.,,https://w3id.org/APD,STATO_0000251,1,100,umol{Ca}/g,micromole per gram,trait_group_0001502,14/07/2021,03/06/2025,,cell_sclerenchyma_Ca_per_fresh_mass,,PO_0025034,PATO_0000125; ECSO_00000619; PATO_0001470; glossary_40044,,,CHEBI_22984; PO_0000077; CL_0000000; CHEBI_27027,,,,,,,,,,,,,,,,,,,,,,,
trait_0001616,leaf_spongy_mesophyll_Ca_per_fresh_mass,Leaf spongy mesophyll cell calcium (Ca) content per unit leaf fresh mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of calcium [CHEBI:22984] in spongy mesophyll cells [PO:0006205] to spongy mesophyll cell fresh mass [APD:glossary/40044].,The ratio of the mass of calcium in spongy mesophyll cells to spongy mesophyll cell fresh mass.,,https://w3id.org/APD,STATO_0000251,1,1000,umol{Ca}/g,micromole per gram,trait_group_0001502,14/07/2021,03/06/2025,,cell_spongy_mesophyll_Ca_per_fresh_mass,,PO_0025034,PATO_0000125; ECSO_00000619; PATO_0001470; glossary_40044,,,CHEBI_22984; PO_0006205; CL_0000000; CHEBI_27027,,,,,,,,,,,,,,,,,,,,,,,
trait_0001661,leaf_epidermis_P_per_fresh_mass,Leaf epidermis phosphorus (P) content per unit leaf fresh mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of phosphorus [CHEBI:28659] in epidermal cells [PO:0004013] to epidermal cell fresh mass [APD:glossary/40044].,The ratio of the mass of phosphorus in epidermal cells to epidermal cell fresh mass.,,https://w3id.org/APD,STATO_0000251,0,10,umol{P}/g,micromole per gram,trait_group_0001502,14/07/2021,03/06/2025,,cell_epidermis_P_per_fresh_mass,,PO_0025034,PATO_0000125; ECSO_00000619; PATO_0001470; glossary_40044,,,CHEBI_28659; PO_0004013; CL_0000000; CHEBI_33937,,,,,,,,,,,,,,,,,,,,,,,
trait_0001662,leaf_hypodermis_P_per_fresh_mass,Leaf hypodermis phosphorus (P) content per unit leaf fresh mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of phosphorus [CHEBI:28659] in the hypodermis [PO:0005051] to hypodermis fresh mass [APD:glossary/40044].,The ratio of the mass of phosphorus in the hypodermis to hypodermis fresh mass.,,https://w3id.org/APD,STATO_0000251,0,10,umol{P}/g,micromole per gram,trait_group_0001502,14/07/2021,03/06/2025,,cell_hypodermis_P_per_fresh_mass,,PO_0025034,PATO_0000125; ECSO_00000619; PATO_0001470; glossary_40044,,,CHEBI_28659; PO_0005051; CL_0000000; CHEBI_33937,,,,,,,,,,,,,,,,,,,,,,,
trait_0001663,leaf_internal_parenchyma_P_per_fresh_mass,Leaf internal parenchyma cell phosphorus (P) content per unit leaf fresh mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of phosphorus [CHEBI:28659] in parenchyma cells [PO:0000074] to parenchyma cell fresh mass [APD:glossary/40044].,The ratio of the mass of phosphorus in parenchyma cells to parenchyma cell fresh mass.,,https://w3id.org/APD,STATO_0000251,0,10,umol{P}/g,micromole per gram,trait_group_0001502,14/07/2021,03/06/2025,,cell_internal_parenchyma_P_per_fresh_mass,,PO_0025034,PATO_0000125; ECSO_00000619; PATO_0001470; glossary_40044,,,CHEBI_28659; PO_0000074; CL_0000000; CHEBI_33937,,,,,,,,,,,,,,,,,,,,,,,
trait_0001664,leaf_palisade_mesophyll_P_per_fresh_mass,Leaf palisade mesophyll cell phosphorus (P) content per unit leaf fresh mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of phosphorus [CHEBI:28659] in palisade mesophyll cells [PO:0006206] to palisade mesophyll cell fresh mass [APD:glossary/40044].,The ratio of the mass of phosphorus in palisade mesophyll cells to palisade mesophyll cell fresh mass.,,https://w3id.org/APD,STATO_0000251,0,30,umol{P}/g,micromole per gram,trait_group_0001502,14/07/2021,03/06/2025,,cell_palisade_mesophyll_P_per_fresh_mass,,PO_0025034,PATO_0000125; ECSO_00000619; PATO_0001470; glossary_40044,,,CHEBI_28659; PO_0006206; CL_0000000; CHEBI_33937,,,,,,,,,,,,,,,,,,,,,,,
trait_0001665,leaf_sclerenchyma_P_per_fresh_mass,Leaf sclerenchyma cell phosphorus (P) content per unit leaf fresh mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of phosphorus [CHEBI:28659] in sclerenchyma cells [PO:0000077] to sclerenchyma cell fresh mass [APD:glossary/40044].,The ratio of the mass of phosphorus in sclerenchyma cells to sclerenchyma cell fresh mass.,,https://w3id.org/APD,STATO_0000251,0,10,umol{P}/g,micromole per gram,trait_group_0001502,14/07/2021,03/06/2025,,cell_sclerenchyma_P_per_fresh_mass,,PO_0025034,PATO_0000125; ECSO_00000619; PATO_0001470; glossary_40044,,,CHEBI_28659; PO_0000077; CL_0000000; CHEBI_33937,,,,,,,,,,,,,,,,,,,,,,,
trait_0001666,leaf_spongy_mesophyll_P_per_fresh_mass,Leaf spongy mesophyll cell phosphorus (P) content per unit leaf fresh mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of phosphorus [CHEBI:28659] in spongy mesophyll cells [PO:0006205] to spongy mesophyll cell fresh mass [APD:glossary/40044].,The ratio of the mass of phosphorus in spongy mesophyll cells to spongy mesophyll cell fresh mass.,,https://w3id.org/APD,STATO_0000251,0,30,umol{P}/g,micromole per gram,trait_group_0001502,14/07/2021,03/06/2025,,cell_spongy_mesophyll_P_per_fresh_mass,,PO_0025034,PATO_0000125; ECSO_00000619; PATO_0001470; glossary_40044,,,CHEBI_28659; PO_0006205; CL_0000000; CHEBI_33937,,,,,,,,,,,,,,,,,,,,,,,
trait_0002021,leaf_total_non-structural_carbohydrates_per_area,Leaf total non-structural carbohydrate content per unit leaf area,"The ratio [PATO:0001470] of the mass [PATO:0000125] of non-structural carbohydrates [CHEBI:16646] (sugars [APD:glossary/40106]) in a leaf [PO:0025034] to leaf area [PATO:0001323], where non-structural carbohydrates are carbohydrates that do not comprise the cell wall [GO:0009505].","The ratio of the mass of non-structural carbohydrates (sugars) in a leaf to leaf area, where non-structural carbohydrates are carbohydrates that do not comprise the cell wall.",,https://w3id.org/APD,STATO_0000251,0.1,50,g/m2,gram per square metre,trait_group_0002005,14/07/2021,05/02/2024,,,,PO_0025034,PATO_0000125; EnvThes:22003; PATO_0001470,,,CHEBI_16646; CHEBI_28017; glossary_40106; glossary_40062,,,,,,,,,,,,,,,,,,,,,,,
